,0,1,2,3,4,5
0,3392,明城新村桂花园,奉贤,价格待定,住宅,未开盘
1,3393,天和尚海庭前,奉贤,50000,别墅,在售
2,3394,中核锦悦府,青浦,58000,住宅,在售
3,3395,乐活居,普陀,93000,住宅,在售
4,3396,中骏天珑,青浦,58000,住宅,在售
5,3397,新城虹口金茂府,虹口,102000,住宅,在售
6,3398,保利玲玥公馆,奉贤,19500,住宅,在售
7,3399,复地富顿街区,松江,42000,住宅,在售
8,3400,复地富顿街区,松江,价格待定,别墅,未开盘
9,3401,合景天悦,松江,49500,住宅,在售
10,3402,翠湖天地隽荟,黄浦,160000,住宅,售罄
11,3403,金臣汇,闵行,1871,住宅,售罄
12,3404,华亭首府,松江,价格待定,别墅,售罄
13,3405,徐汇公园道壹号,徐汇,价格待定,住宅,售罄
14,3406,万科安亭新镇,嘉定,31800,住宅,售罄
15,3407,正阳世纪星城,奉贤,价格待定,住宅,售罄
16,3408,大华碧云天,宝山,价格待定,住宅,售罄
17,3409,西上海御庭,嘉定,32000,住宅,售罄
18,3410,保利艾庐,浦东,价格待定,别墅,售罄
19,3411,万科金域澜湾,浦东,价格待定,别墅,售罄
20,3412,中鹰黑森林,普陀,120000,住宅,在售
21,3413,万源城御璄,闵行,85000,住宅,在售
22,3414,君悦湾墅,青浦,53000,别墅,在售
23,3415,象屿上海年华,松江,46000,住宅,在售
24,3416,湖畔天下,嘉定,47000,住宅,在售
25,3417,祥和王宫,普陀,118000,别墅,在售
26,3418,华侨城苏河湾(公寓),静安,190000,住宅,在售
27,3419,恒大御景湾,嘉定,45000,住宅,在售
28,3420,紫都上海晶园,松江,3000,别墅,在售
29,3421,御品园林,青浦,65000,别墅,在售
30,3422,青浦万达茂,青浦,28000,商业类,在售
31,3423,临港十七区,浦东,60000,商业,在售
32,3424,星尚湾名邸,青浦,55000,别墅,在售
33,3425,三迪上东街,松江,60000,商业,在售
34,3426,凯德星贸邸,静安,122000,住宅,未开盘
35,3427,复地雅园,黄浦,126000,住宅,在售
36,3428,五坊园,黄浦,111000,住宅,在售
37,3429,四季都会,宝山,43000,住宅,在售
38,3430,信达泰禾上城院子,宝山,52500,住宅,在售
39,3431,中海臻如府,普陀,95000,住宅,在售
40,3432,贝尚湾,松江,价格待定,住宅,下期待开
41,3433,长风瑞仕璟庭,普陀,价格待定,住宅,下期待开
42,3434,海伦堡兰园,松江,35000,住宅,在售
43,3435,古北尚郡,闵行,71000,住宅,在售
44,3436,原筑江南,奉贤,42500,别墅,在售
45,3437,中旭广场,闵行,41000,商业,在售
46,3438,绿地海越,宝山,38000,写字楼,在售
47,3439,静安新城商铺,闵行,60000,商业,在售
48,3440,陆家嘴滴水涟岸,浦东,29000,住宅,在售
49,3441,陆家嘴滴水涟岸,浦东,34000,别墅,在售
50,3442,宝龙世家,浦东,150,商业,在售
51,3443,中惠金钻天地,浦东,50000,商业,在售
52,3444,远洋财富中心,浦东,28000,写字楼,在售
53,3445,远洋财富中心,浦东,50000,商业,在售
54,3446,高桥红坊,浦东,85000,商业,在售
55,3447,虹桥富力中心,闵行,100000,商业,在售
56,3448,东渡悦来城,青浦,50000,商业,在售
57,3449,中南锦庭,奉贤,35000,商业,在售
58,3450,平高世贸中心,松江,28000,写字楼,在售
59,3451,一品漫城(五期),闵行,58000,商业,在售
60,3452,淮海名邸,长宁,130000,住宅,在售
61,3453,金臣别墅,闵行,120000,别墅,在售
62,3454,嘉天汇,静安,价格待定,住宅,未开盘
63,3455,西郊庄园马德里洋房,闵行,72000,住宅,在售
64,3456,海湾国际名苑,奉贤,550,别墅,在售
65,3457,香水湾,青浦,65000,别墅,在售
66,3458,英庭名墅,青浦,74000,别墅,在售
67,3459,颐湾丽庭,青浦,35000,别墅,在售
68,3460,天和前滩时代,奉贤,30600,住宅,在售
69,3461,万科翡翠滨江(一期),浦东,3010,住宅,在售
70,3462,大华公园城市,宝山,57200,住宅,在售
