,0,1,2,3,4
0,931,金唐公寓 2室1厅 335万,浦东,单价38493元/平米,335
1,932,永泰花苑 2室1厅 388万,浦东,单价53115元/平米,388
2,933,婚房装修的两房 近18号线沈梅路站一公里 看房方便,浦东,单价37199元/平米,265
3,934,内环内满五年唯一婚房装修正气一室一厅,浦东,单价53341元/平米,198
4,935,小区临河位置  精装修 诚心出售 方便看,浦东,单价37126元/平米,280
5,936,精装修，高品质居住。适宜居家育孩,浦东,单价70724元/平米,380
6,937,康桥宝邸精装两房中间楼层满五唯一无个税,浦东,单价37814元/平米,285
7,938,6号楼中高区，全明户型，朝南房型，有钥匙随时看,浦东,单价87007元/平米,1279
8,939,近地铁，中间楼层，南北通格局，业主诚心出售！,浦东,单价25070元/平米,235
9,940,金杨四街坊+全明户型+楼层好+可直接上,浦东,单价66909元/平米,405
10,941,精装大两房 满五唯一 诚心出售 景观位置 采光无遮挡,浦东,单价49100元/平米,510
11,942,小区中间位置，双南两房，采光通风好，看房方便,浦东,单价116103元/平米,535
12,943,此房满五年，中间楼层，看房随时,浦东,单价25820元/平米,130
13,944,业主急售好房，位置好，优质改装，产权清晰，无户口,浦东,单价35545元/平米,262
14,945,崮山南北大两房，装修很好，拎包入住，非顶楼视野好,浦东,单价91250元/平米,560
15,946,劲爆三房三楼，空关看房随时交房随时,浦东,单价61486元/平米,720
16,947,满五唯一，高区三房，业主诚意出售，小区中间位置！,浦东,单价82029元/平米,985
17,948,精装修带全屋空调，附8平，40万装修，首付150万起,浦东,单价49632元/平米,445
18,949,惠康苑 全南2房 主次卧面积均等 采光好 就读惠南小,浦东,单价24502元/平米,193
19,950,小区中间位置，楼距宽，中间楼层，满五唯一,浦东,单价53399元/平米,440
20,951,小区不靠路，满五不唯一，税费少，业主诚意出售,浦东,单价101339元/平米,515
21,952,总价低，位置好，双轨交通便利，产权清晰，业主诚售,浦东,单价51080元/平米,168
22,953,店长推荐，低总价经典小户型，满五年唯一精装中层！,浦东,单价25681元/平米,101
23,954,此房小区央座，二房朝南一房朝北，自住精装修80万,浦东,单价55039元/平米,715
24,955,很精的精装修    采光很好   诚意出售  价格好商量,浦东,单价45170元/平米,375
25,956,内环内总价低，全明通透，随时可看，交通便利配套齐,浦东,单价45938元/平米,212
26,957,布鲁斯二期，满五唯一，有钥匙品质小区，诚心出售。,浦东,单价27059元/平米,348
27,958,星颂南北卧室 一手动迁税费低 婚房精装住的少 全留,浦东,单价38914元/平米,285
28,959,未用 双南两房 中间楼层 小区中间位置,浦东,单价76563元/平米,425
29,960,精装修双南两房，中间楼层，业主置换，无户口看房方便,浦东,单价116174元/平米,538
30,961,盛大低总价，看小区绿化景观，钥匙房，业主诚意出售,浦东,单价109582元/平米,2133
31,962,一线无遮挡全江景 业主诚意 两梯一户 挑空复式,浦东,单价68849元/平米,2680
32,963,国信前排临江高区景观房  屋况江景俱佳  含车位诚意出,浦东,单价95889元/平米,2260
33,964,满五唯一+一楼带花园+近地铁6号线+房东自住+诚心出售,浦东,单价68575元/平米,635
34,965,双南两房  户型方正  楼层佳  位置好 住着舒服安心,浦东,单价67188元/平米,525
35,966,正气三房 业主置换 诚意出售  满五唯一 产权清晰,浦东,单价82397元/平米,997
36,967,浦东星河湾泳池全景房+视野开阔+优选房源+诚意出售,浦东,单价82938元/平米,2499
37,968,复式带花园，统一装修进口材料，五房三厅三卫,浦东,单价59000元/平米,1180
